"","caseid","region","gender","educ","edloan","race","hispanic","employ","marstat","pid7","ideo5","pew_religimp","newsint","faminc_new","union","investor","CC18_308a","CC18_310a","CC18_310b","CC18_310c","CC18_310d","CC18_325a","CC18_325b","CC18_325c","CC18_325d","educ_category","dem_rep"
"731",419696374,3,2,3,2,1,2,5,4,7,4,2,1,3,2,1,1,2,3,2,2,1,1,1,1,"< 4-yr-Degree","Republican"
"732",412289834,4,2,5,2,1,2,5,1,1,1,4,1,9,2,2,4,3,3,3,3,2,2,2,2,"4-yr-Degree +","Democrat"
"733",412243811,3,2,2,2,1,2,5,4,1,2,3,2,5,2,2,4,2,3,2,5,2,1,1,1,"< 4-yr-Degree","Democrat"
"734",417838062,4,1,6,2,1,2,5,1,1,1,3,1,5,3,1,4,2,2,2,2,2,1,2,1,"4-yr-Degree +","Democrat"
"735",412298138,4,1,6,2,1,2,5,1,3,3,4,1,12,2,1,4,3,3,3,2,2,1,2,1,"4-yr-Degree +","Democrat"
"736",414191235,2,1,2,2,1,2,1,3,2,5,2,3,9,1,2,4,2,5,3,2,2,1,2,1,"< 4-yr-Degree","Democrat"
"737",418249805,2,1,6,2,1,2,2,1,1,2,2,1,9,3,1,4,2,2,2,2,2,2,2,1,"4-yr-Degree +","Democrat"
"738",411880045,4,2,4,NA,1,2,1,5,7,4,2,2,5,1,2,1,3,5,5,5,2,2,2,1,"<4-yr-Degree","Republican"
"739",412906234,3,2,1,NA,1,2,7,1,7,2,2,2,5,3,2,1,5,5,5,1,2,1,1,2,"< 4-yr-Degree","Republican"
"740",415540912,3,1,2,NA,1,2,1,1,5,4,1,2,8,1,1,2,2,2,2,2,1,2,1,1,"< 4-yr-Degree","Republican"
"741",412052437,3,1,4,2,1,2,5,1,7,5,1,1,4,2,2,1,2,2,2,2,1,1,2,1,"<4-yr-Degree","Republican"
"742",414354875,3,2,2,NA,1,2,1,5,6,4,2,3,10,3,1,2,2,5,3,5,2,1,1,1,"< 4-yr-Degree","Republican"
"743",412874712,3,2,3,2,1,2,2,1,1,1,4,3,5,3,2,4,2,3,2,5,2,1,2,2,"< 4-yr-Degree","Democrat"
"744",416260361,4,2,6,2,4,2,1,5,2,2,2,2,7,3,1,2,3,3,3,5,2,2,2,2,"4-yr-Degree +","Democrat"
"745",414481621,1,1,2,2,1,2,1,6,1,3,2,2,7,3,2,4,5,3,3,5,2,1,2,1,"< 4-yr-Degree","Democrat"
"746",414200927,4,1,2,2,1,2,1,1,4,3,4,4,9,3,2,1,2,3,2,2,1,1,1,1,"< 4-yr-Degree","Independent"
"747",411724232,2,2,3,2,1,2,5,1,7,3,1,2,4,3,2,1,3,5,3,2,2,1,1,1,"< 4-yr-Degree","Republican"
"748",413221557,4,2,2,2,1,2,8,5,1,1,4,2,4,3,2,4,5,5,3,2,2,1,1,2,"< 4-yr-Degree","Democrat"
"749",413056145,2,1,5,2,1,2,1,3,5,5,3,1,9,1,1,1,2,2,2,2,1,2,1,1,"4-yr-Degree +","Republican"
"750",414290551,4,2,2,2,1,2,6,6,1,1,4,1,6,2,2,4,3,3,3,2,2,2,2,1,"< 4-yr-Degree","Democrat"
"751",416452513,1,1,2,2,1,2,6,6,7,4,2,1,5,2,2,1,3,3,2,3,1,2,1,1,"< 4-yr-Degree","Republican"
"752",410813470,3,1,4,2,1,2,2,1,5,4,1,2,6,3,1,2,2,5,2,5,1,1,2,1,"<4-yr-Degree","Republican"
"753",415339032,4,2,2,2,3,2,7,1,1,3,1,3,2,3,2,4,3,2,5,2,2,1,2,1,"< 4-yr-Degree","Democrat"
"754",412334272,3,2,6,2,1,2,2,1,1,3,2,1,12,1,1,4,2,2,2,3,2,2,2,1,"4-yr-Degree +","Democrat"
"755",412345940,2,1,6,1,1,2,1,1,1,2,4,1,11,3,1,4,2,3,3,2,2,2,2,1,"4-yr-Degree +","Democrat"
"756",420156492,4,2,6,1,1,2,1,5,7,5,1,1,4,1,2,1,3,3,3,3,1,1,1,1,"4-yr-Degree +","Republican"
"757",413674352,4,1,2,2,1,2,5,1,7,5,3,1,6,3,1,1,2,2,2,2,1,1,1,1,"< 4-yr-Degree","Republican"
"758",416277978,3,1,5,2,1,2,1,5,1,1,3,1,5,3,1,4,2,3,2,2,2,2,2,1,"4-yr-Degree +","Democrat"
"759",412275456,1,1,5,2,1,2,5,1,1,3,3,1,7,3,1,4,3,3,2,2,2,1,2,1,"4-yr-Degree +","Democrat"
"760",414704723,2,2,4,1,1,2,7,1,4,3,1,1,3,3,2,2,2,2,3,3,1,1,2,1,"<4-yr-Degree","Independent"
"761",412894665,1,2,6,2,1,2,2,1,2,3,4,1,6,2,1,4,3,3,3,3,2,1,2,1,"4-yr-Degree +","Democrat"
"762",412297908,2,2,2,2,1,2,7,1,1,2,2,2,9,3,1,3,3,3,1,2,2,2,2,1,"< 4-yr-Degree","Democrat"
"763",412386158,4,2,2,2,1,2,6,2,2,2,3,2,5,3,2,4,2,3,2,3,2,1,2,1,"< 4-yr-Degree","Democrat"
"764",414864413,3,2,3,1,2,2,1,6,2,3,3,2,9,3,2,4,3,3,3,5,2,1,1,1,"< 4-yr-Degree","Democrat"
